ENSMUST00000234132.2	ENSMUSG00000117547.2
ENSMUST00000237576.2	ENSMUSG00000036501.8
ENSMUST00000235499.2	ENSMUSG00000036501.8
ENSMUST00000238068.2	ENSMUSG00000036501.8
ENSMUST00000236598.2	ENSMUSG00000036501.8
ENSMUST00000134875.8	ENSMUSG00000035984.15
ENSMUST00000079287.12	ENSMUSG00000035984.15
ENSMUST00000155114.2	ENSMUSG00000035984.15
ENSMUST00000154342.2	ENSMUSG00000035984.15
ENSMUST00000056932.9	ENSMUSG00000049357.12
ENSMUST00000129566.2	ENSMUSG00000049357.12
ENSMUST00000003876.10	ENSMUSG00000003778.15
ENSMUST00000115766.8	ENSMUSG00000003778.15
ENSMUST00000152612.8	ENSMUSG00000003778.15
ENSMUST00000097626.10	ENSMUSG00000003778.15
ENSMUST00000115765.2	ENSMUSG00000003778.15
ENSMUST00000153569.8	ENSMUSG00000003778.15
ENSMUST00000145431.2	ENSMUSG00000003778.15
ENSMUST00000127159.2	ENSMUSG00000003778.15
ENSMUST00000025228.12	ENSMUSG00000024370.18
ENSMUST00000133181.2	ENSMUSG00000024370.18
ENSMUST00000138400.2	ENSMUSG00000024370.18
ENSMUST00000133162.9	ENSMUSG00000024370.18
ENSMUST00000155307.2	ENSMUSG00000024370.18
ENSMUST00000136943.2	ENSMUSG00000024370.18
ENSMUST00000151409.2	ENSMUSG00000024370.18
ENSMUST00000135208.2	ENSMUSG00000024370.18
ENSMUST00000025224.9	ENSMUSG00000024366.9
ENSMUST00000239759.1	ENSMUSG00000119209.1
ENSMUST00000060710.9	ENSMUSG00000044201.11
ENSMUST00000237620.2	ENSMUSG00000044201.11
ENSMUST00000237822.2	ENSMUSG00000044201.11
ENSMUST00000236366.2	ENSMUSG00000044201.11
ENSMUST00000237204.2	ENSMUSG00000044201.11
ENSMUST00000237034.2	ENSMUSG00000044201.11
ENSMUST00000025218.8	ENSMUSG00000024360.9
ENSMUST00000025217.11	ENSMUSG00000024359.11
ENSMUST00000237399.2	ENSMUSG00000024359.11
ENSMUST00000236908.2	ENSMUSG00000024359.11
ENSMUST00000158614.3	ENSMUSG00000089239.3
ENSMUST00000083970.3	ENSMUSG00000065904.3
ENSMUST00000235244.2	ENSMUSG00000024359.11
ENSMUST00000237289.2	ENSMUSG00000024359.11
ENSMUST00000237898.2	ENSMUSG00000118145.2
ENSMUST00000238134.2	ENSMUSG00000117727.2
ENSMUST00000091636.5	ENSMUSG00000071862.4
ENSMUST00000236530.2	ENSMUSG00000071862.4
ENSMUST00000236680.2	ENSMUSG00000071862.4
ENSMUST00000236387.2	ENSMUSG00000024357.11
ENSMUST00000237896.2	ENSMUSG00000024357.11
ENSMUST00000235619.2	ENSMUSG00000024357.11
ENSMUST00000025215.10	ENSMUSG00000024357.11
ENSMUST00000237253.2	ENSMUSG00000024357.11
ENSMUST00000237309.2	ENSMUSG00000024357.11
ENSMUST00000235778.2	ENSMUSG00000024357.11
ENSMUST00000237232.2	ENSMUSG00000024357.11
ENSMUST00000236007.2	ENSMUSG00000024357.11
ENSMUST00000235524.2	ENSMUSG00000024357.11
ENSMUST00000235691.2	ENSMUSG00000024357.11
ENSMUST00000237282.2	ENSMUSG00000118030.2
ENSMUST00000025212.8	ENSMUSG00000024354.14
ENSMUST00000237305.2	ENSMUSG00000024354.14
ENSMUST00000235744.2	ENSMUSG00000024354.14
ENSMUST00000236196.2	ENSMUSG00000024354.14
ENSMUST00000025211.6	ENSMUSG00000024353.6
ENSMUST00000235292.2	ENSMUSG00000117874.2
ENSMUST00000235707.2	ENSMUSG00000024353.6
ENSMUST00000237462.2	ENSMUSG00000024353.6
ENSMUST00000190196.5	ENSMUSG00000073600.6
ENSMUST00000237307.2	ENSMUSG00000073600.6
ENSMUST00000097619.2	ENSMUSG00000073600.6
ENSMUST00000025209.12	ENSMUSG00000024352.13
ENSMUST00000236539.2	ENSMUSG00000024352.13
ENSMUST00000235760.2	ENSMUSG00000024352.13
ENSMUST00000096573.4	ENSMUSG00000024352.13
ENSMUST00000235803.2	ENSMUSG00000024352.13
ENSMUST00000236971.2	ENSMUSG00000024352.13
ENSMUST00000236574.2	ENSMUSG00000024352.13
ENSMUST00000025208.7	ENSMUSG00000024350.7
ENSMUST00000235930.2	ENSMUSG00000024350.7
ENSMUST00000237995.2	ENSMUSG00000024350.7
ENSMUST00000236738.2	ENSMUSG00000024350.7
ENSMUST00000097618.10	ENSMUSG00000073599.11
ENSMUST00000133064.8	ENSMUSG00000073599.11
ENSMUST00000235163.2	ENSMUSG00000073599.11
ENSMUST00000134656.8	ENSMUSG00000073599.11
ENSMUST00000123973.2	ENSMUSG00000073599.11
ENSMUST00000124237.2	ENSMUSG00000073599.11
ENSMUST00000143684.2	ENSMUSG00000073599.11
ENSMUST00000235495.2	ENSMUSG00000024349.11
ENSMUST00000237919.2	ENSMUSG00000024349.11
ENSMUST00000115728.5	ENSMUSG00000024349.11
ENSMUST00000235496.2	ENSMUSG00000024349.11
ENSMUST00000237853.2	ENSMUSG00000024349.11
ENSMUST00000235218.2	ENSMUSG00000024349.11
ENSMUST00000236926.2	ENSMUSG00000024349.11
ENSMUST00000235302.2	ENSMUSG00000024349.11
ENSMUST00000235173.2	ENSMUSG00000024349.11
ENSMUST00000237405.2	ENSMUSG00000024349.11
ENSMUST00000188160.2	ENSMUSG00000100320.2
ENSMUST00000237036.2	ENSMUSG00000118358.2
ENSMUST00000115713.9	ENSMUSG00000060275.15
ENSMUST00000239409.2	ENSMUSG00000060275.15
ENSMUST00000115712.10	ENSMUSG00000060275.15
ENSMUST00000237681.2	ENSMUSG00000060275.15
ENSMUST00000225173.3	ENSMUSG00000060275.15
ENSMUST00000115705.2	ENSMUSG00000060275.15
ENSMUST00000025204.7	ENSMUSG00000024346.7
ENSMUST00000237792.2	ENSMUSG00000024346.7
ENSMUST00000237499.2	ENSMUSG00000024346.7
ENSMUST00000025363.7	ENSMUSG00000024486.7
ENSMUST00000237621.2	ENSMUSG00000024486.7
ENSMUST00000236520.2	ENSMUSG00000024486.7
ENSMUST00000173875.9	ENSMUSG00000006050.13
ENSMUST00000173482.8	ENSMUSG00000006050.13
ENSMUST00000236330.2	ENSMUSG00000006050.13
ENSMUST00000173202.3	ENSMUSG00000006050.13
ENSMUST00000006209.5	ENSMUSG00000006050.13
ENSMUST00000174125.2	ENSMUSG00000006050.13
ENSMUST00000001415.9	ENSMUSG00000117679.2
ENSMUST00000236001.2	ENSMUSG00000117679.2
ENSMUST00000235552.2	ENSMUSG00000117679.2
ENSMUST00000237073.2	ENSMUSG00000117679.2
ENSMUST00000235798.2	ENSMUSG00000117679.2
ENSMUST00000237795.2	ENSMUSG00000117679.2
ENSMUST00000238072.2	ENSMUSG00000117679.2
ENSMUST00000238112.2	ENSMUSG00000117679.2
ENSMUST00000237965.2	ENSMUSG00000117679.2
ENSMUST00000237679.2	ENSMUSG00000117679.2
ENSMUST00000237972.2	ENSMUSG00000117679.2
ENSMUST00000237354.2	ENSMUSG00000117679.2
ENSMUST00000115682.2	ENSMUSG00000044719.6
ENSMUST00000235134.2	ENSMUSG00000044719.6
ENSMUST00000061829.8	ENSMUSG00000051439.8
ENSMUST00000237042.2	ENSMUSG00000051439.8
ENSMUST00000014438.5	ENSMUSG00000014294.5
ENSMUST00000155827.2	ENSMUSG00000044595.11
ENSMUST00000061522.8	ENSMUSG00000044595.11
ENSMUST00000124038.2	ENSMUSG00000044595.11
ENSMUST00000001416.8	ENSMUSG00000001380.8
ENSMUST00000235494.2	ENSMUSG00000001380.8
ENSMUST00000236395.2	ENSMUSG00000001380.8
ENSMUST00000235863.2	ENSMUSG00000001380.8
ENSMUST00000192440.2	ENSMUSG00000103386.2
ENSMUST00000194001.2	ENSMUSG00000102634.2
ENSMUST00000192178.2	ENSMUSG00000103384.2
ENSMUST00000097612.4	ENSMUSG00000073594.4
ENSMUST00000180516.3	ENSMUSG00000097430.3
ENSMUST00000192936.2	ENSMUSG00000103456.2
ENSMUST00000181887.2	ENSMUSG00000097430.3
ENSMUST00000192479.2	ENSMUSG00000097430.3
ENSMUST00000193015.2	ENSMUSG00000103985.2
ENSMUST00000058635.5	ENSMUSG00000050304.5
ENSMUST00000239320.2	ENSMUSG00000050304.5
ENSMUST00000239189.2	ENSMUSG00000050304.5
ENSMUST00000066272.6	ENSMUSG00000051316.9
ENSMUST00000193056.2	ENSMUSG00000102827.2
ENSMUST00000193029.2	ENSMUSG00000102827.2
ENSMUST00000194328.2	ENSMUSG00000103956.2
ENSMUST00000193815.2	ENSMUSG00000104512.2
ENSMUST00000180931.2	ENSMUSG00000097330.3
ENSMUST00000192501.2	ENSMUSG00000097330.3
ENSMUST00000180922.2	ENSMUSG00000097330.3
ENSMUST00000192805.2	ENSMUSG00000097330.3
ENSMUST00000192003.2	ENSMUSG00000103309.2
ENSMUST00000195495.2	ENSMUSG00000102713.2
ENSMUST00000115634.8	ENSMUSG00000024456.17
ENSMUST00000025337.14	ENSMUSG00000024456.17
ENSMUST00000115631.8	ENSMUSG00000024456.17
ENSMUST00000115629.9	ENSMUSG00000024456.17
ENSMUST00000080033.7	ENSMUSG00000024456.17
ENSMUST00000127346.2	ENSMUSG00000024456.17
ENSMUST00000183927.3	ENSMUSG00000098706.3
ENSMUST00000124822.2	ENSMUSG00000024456.17
ENSMUST00000129688.2	ENSMUSG00000024456.17
ENSMUST00000143660.8	ENSMUSG00000024454.17
ENSMUST00000144471.8	ENSMUSG00000024454.17
ENSMUST00000043498.9	ENSMUSG00000024454.17
ENSMUST00000153945.3	ENSMUSG00000024454.17
ENSMUST00000236756.2	ENSMUSG00000024454.17
ENSMUST00000235700.2	ENSMUSG00000024454.17
ENSMUST00000165643.2	ENSMUSG00000038524.14
ENSMUST00000043437.14	ENSMUSG00000038524.14
ENSMUST00000166727.2	ENSMUSG00000038524.14
ENSMUST00000166148.8	ENSMUSG00000038524.14
ENSMUST00000166973.2	ENSMUSG00000038524.14
ENSMUST00000168816.2	ENSMUSG00000038524.14
ENSMUST00000163131.8	ENSMUSG00000038524.14
ENSMUST00000168136.8	ENSMUSG00000038524.14
ENSMUST00000164222.2	ENSMUSG00000038524.14
ENSMUST00000171253.2	ENSMUSG00000038524.14
ENSMUST00000237272.2	ENSMUSG00000024451.10
ENSMUST00000042944.9	ENSMUSG00000024451.10
ENSMUST00000236772.2	ENSMUSG00000024451.10
ENSMUST00000236534.2	ENSMUSG00000024451.10
ENSMUST00000184293.3	ENSMUSG00000098608.3
ENSMUST00000235391.2	ENSMUSG00000024451.10
ENSMUST00000237188.2	ENSMUSG00000024451.10
ENSMUST00000237677.2	ENSMUSG00000024451.10
ENSMUST00000185063.3	ENSMUSG00000098297.3
ENSMUST00000236588.2	ENSMUSG00000024451.10
ENSMUST00000236134.2	ENSMUSG00000024451.10
ENSMUST00000160721.8	ENSMUSG00000051375.16
ENSMUST00000161701.3	ENSMUSG00000051375.16
ENSMUST00000057185.13	ENSMUSG00000051375.16
ENSMUST00000159405.3	ENSMUSG00000051375.16
ENSMUST00000194312.2	ENSMUSG00000051375.16
ENSMUST00000193828.2	ENSMUSG00000051375.16
ENSMUST00000181757.8	ENSMUSG00000097080.9
ENSMUST00000181871.3	ENSMUSG00000097080.9
ENSMUST00000235608.2	ENSMUSG00000097080.9
ENSMUST00000235525.2	ENSMUSG00000097080.9
ENSMUST00000236219.2	ENSMUSG00000097080.9
ENSMUST00000235818.2	ENSMUSG00000097080.9
ENSMUST00000025311.8	ENSMUSG00000024440.14
ENSMUST00000195747.6	ENSMUSG00000024440.14
ENSMUST00000194012.2	ENSMUSG00000024440.14
ENSMUST00000193123.2	ENSMUSG00000024440.14
ENSMUST00000237487.2	ENSMUSG00000052102.16
ENSMUST00000235590.2	ENSMUSG00000052102.16
ENSMUST00000063814.15	ENSMUSG00000052102.16
ENSMUST00000153291.2	ENSMUSG00000052102.16
ENSMUST00000129062.2	ENSMUSG00000052102.16
ENSMUST00000139885.2	ENSMUSG00000052102.16
ENSMUST00000237313.2	ENSMUSG00000052102.16
ENSMUST00000235767.2	ENSMUSG00000118140.2
ENSMUST00000235696.2	ENSMUSG00000117986.2
ENSMUST00000236084.2	ENSMUSG00000118112.2
ENSMUST00000025295.8	ENSMUSG00000024427.8
ENSMUST00000122442.2	ENSMUSG00000083766.2
ENSMUST00000119217.2	ENSMUSG00000081773.2
ENSMUST00000040647.11	ENSMUSG00000036585.17
ENSMUST00000131348.8	ENSMUSG00000036585.17
ENSMUST00000115582.8	ENSMUSG00000036585.17
ENSMUST00000236630.2	ENSMUSG00000036585.17
ENSMUST00000117566.8	ENSMUSG00000036585.17
ENSMUST00000236060.2	ENSMUSG00000036585.17
ENSMUST00000237356.2	ENSMUSG00000036585.17
ENSMUST00000235922.2	ENSMUSG00000036585.17
ENSMUST00000139972.2	ENSMUSG00000036585.17
ENSMUST00000147607.2	ENSMUSG00000036585.17
ENSMUST00000134864.2	ENSMUSG00000036585.17
ENSMUST00000131421.2	ENSMUSG00000086991.2
ENSMUST00000128894.2	ENSMUSG00000086312.2
ENSMUST00000118825.2	ENSMUSG00000082287.2
ENSMUST00000135378.2	ENSMUSG00000085289.2
ENSMUST00000115567.8	ENSMUSG00000024431.16
ENSMUST00000115571.8	ENSMUSG00000024431.16
ENSMUST00000025300.13	ENSMUSG00000024431.16
ENSMUST00000097592.9	ENSMUSG00000024431.16
ENSMUST00000152853.2	ENSMUSG00000024431.16
ENSMUST00000124115.2	ENSMUSG00000024431.16
ENSMUST00000131885.2	ENSMUSG00000024431.16
ENSMUST00000237944.2	ENSMUSG00000024431.16
ENSMUST00000150483.2	ENSMUSG00000024431.16
ENSMUST00000235128.2	ENSMUSG00000117922.2
ENSMUST00000237624.2	ENSMUSG00000118015.2
ENSMUST00000235427.2	ENSMUSG00000118042.2
ENSMUST00000025364.6	ENSMUSG00000024487.6
ENSMUST00000236741.2	ENSMUSG00000024487.6
ENSMUST00000237176.2	ENSMUSG00000024487.6
ENSMUST00000236700.2	ENSMUSG00000117674.2
ENSMUST00000237648.2	ENSMUSG00000118315.2
ENSMUST00000235734.2	ENSMUSG00000118299.2
ENSMUST00000235955.2	ENSMUSG00000117677.2
ENSMUST00000235677.2	ENSMUSG00000117745.2
ENSMUST00000235606.2	ENSMUSG00000056671.8
ENSMUST00000070949.6	ENSMUSG00000056671.8
ENSMUST00000235276.2	ENSMUSG00000118266.2
ENSMUST00000236542.2	ENSMUSG00000056671.8
ENSMUST00000097591.5	ENSMUSG00000073574.5
ENSMUST00000081374.4	ENSMUSG00000059455.4
ENSMUST00000237209.2	ENSMUSG00000117660.2
ENSMUST00000236636.2	ENSMUSG00000059455.4
ENSMUST00000097590.5	ENSMUSG00000024493.10
ENSMUST00000237587.2	ENSMUSG00000024493.10
ENSMUST00000237882.2	ENSMUSG00000024493.10
ENSMUST00000235845.2	ENSMUSG00000024493.10
ENSMUST00000236226.2	ENSMUSG00000024493.10
ENSMUST00000235432.2	ENSMUSG00000024493.10
ENSMUST00000236826.2	ENSMUSG00000024493.10
ENSMUST00000236102.2	ENSMUSG00000024493.10
ENSMUST00000236304.2	ENSMUSG00000024493.10
ENSMUST00000237520.2	ENSMUSG00000024493.10
ENSMUST00000236263.2	ENSMUSG00000117662.2
ENSMUST00000236054.2	ENSMUSG00000117662.2
ENSMUST00000054738.5	ENSMUSG00000042816.5
ENSMUST00000237737.2	ENSMUSG00000117882.2
ENSMUST00000237839.2	ENSMUSG00000117926.2
ENSMUST00000236808.2	ENSMUSG00000117926.2
ENSMUST00000136118.8	ENSMUSG00000024500.21
ENSMUST00000117687.8	ENSMUSG00000024500.21
ENSMUST00000025377.14	ENSMUSG00000024500.21
ENSMUST00000120632.2	ENSMUSG00000024500.21
ENSMUST00000239360.2	ENSMUSG00000024500.21
ENSMUST00000236238.2	ENSMUSG00000024500.21
ENSMUST00000153737.2	ENSMUSG00000024500.21
ENSMUST00000155262.2	ENSMUSG00000024500.21
ENSMUST00000236720.2	ENSMUSG00000117792.2
ENSMUST00000236277.2	ENSMUSG00000117792.2
ENSMUST00000239819.1	ENSMUSG00000119082.1
ENSMUST00000235443.2	ENSMUSG00000117792.2
ENSMUST00000237395.2	ENSMUSG00000117792.2
ENSMUST00000237566.2	ENSMUSG00000117792.2
ENSMUST00000121805.9	ENSMUSG00000024501.21
ENSMUST00000237707.2	ENSMUSG00000024501.21
ENSMUST00000118043.8	ENSMUSG00000024501.21
ENSMUST00000025379.14	ENSMUSG00000024501.21
ENSMUST00000124207.8	ENSMUSG00000024501.21
ENSMUST00000118071.2	ENSMUSG00000024501.21
ENSMUST00000057110.11	ENSMUSG00000043424.11
ENSMUST00000235649.2	ENSMUSG00000118018.2
ENSMUST00000082254.8	ENSMUSG00000024502.11
ENSMUST00000237288.2	ENSMUSG00000024502.11
ENSMUST00000238185.2	ENSMUSG00000024502.11
ENSMUST00000237393.2	ENSMUSG00000024502.11
ENSMUST00000235168.2	ENSMUSG00000024502.11
ENSMUST00000237069.2	ENSMUSG00000024502.11
ENSMUST00000025381.4	ENSMUSG00000024503.4
ENSMUST00000096570.4	ENSMUSG00000071858.5
ENSMUST00000237926.2	ENSMUSG00000071858.5
ENSMUST00000181652.9	ENSMUSG00000069385.11
ENSMUST00000091916.3	ENSMUSG00000069385.11
ENSMUST00000066328.5	ENSMUSG00000053729.5
ENSMUST00000237958.2	ENSMUSG00000053729.5
ENSMUST00000097587.5	ENSMUSG00000073573.7
ENSMUST00000239421.2	ENSMUSG00000073573.7
ENSMUST00000185266.2	ENSMUSG00000073573.7
ENSMUST00000089874.9	ENSMUSG00000071856.11
ENSMUST00000164666.6	ENSMUSG00000071856.11
ENSMUST00000202090.2	ENSMUSG00000071856.11
ENSMUST00000202845.2	ENSMUSG00000071856.11
ENSMUST00000201270.2	ENSMUSG00000071856.11
ENSMUST00000237335.2	ENSMUSG00000117929.2
ENSMUST00000182674.2	ENSMUSG00000098244.2
ENSMUST00000235151.2	ENSMUSG00000118034.2
ENSMUST00000097581.3	ENSMUSG00000073569.3
ENSMUST00000235439.2	ENSMUSG00000117844.2
ENSMUST00000236115.2	ENSMUSG00000118074.2
ENSMUST00000235309.2	ENSMUSG00000118074.2
ENSMUST00000184994.8	ENSMUSG00000098284.9
ENSMUST00000184346.3	ENSMUSG00000098284.9
ENSMUST00000237850.2	ENSMUSG00000098284.9
ENSMUST00000236654.2	ENSMUSG00000098284.9
ENSMUST00000238177.2	ENSMUSG00000098284.9
ENSMUST00000193986.2	ENSMUSG00000104009.2
ENSMUST00000037011.6	ENSMUSG00000033949.13
ENSMUST00000167364.9	ENSMUSG00000033949.13
ENSMUST00000237526.2	ENSMUSG00000033949.13
ENSMUST00000236216.2	ENSMUSG00000024477.5
ENSMUST00000025354.5	ENSMUSG00000024477.5
ENSMUST00000236368.2	ENSMUSG00000024477.5
ENSMUST00000235465.2	ENSMUSG00000024477.5
ENSMUST00000236999.2	ENSMUSG00000024477.5
ENSMUST00000236527.2	ENSMUSG00000024477.5
ENSMUST00000237757.2	ENSMUSG00000024477.5
ENSMUST00000235979.2	ENSMUSG00000024477.5
ENSMUST00000236205.2	ENSMUSG00000024477.5
ENSMUST00000072835.7	ENSMUSG00000071855.6
ENSMUST00000238189.2	ENSMUSG00000071855.6
ENSMUST00000235609.2	ENSMUSG00000071855.6
ENSMUST00000236934.2	ENSMUSG00000071855.6
ENSMUST00000237152.2	ENSMUSG00000071855.6
ENSMUST00000236411.2	ENSMUSG00000117742.2
ENSMUST00000237083.2	ENSMUSG00000118282.2
ENSMUST00000237993.2	ENSMUSG00000118002.2
ENSMUST00000237447.2	ENSMUSG00000118002.2
ENSMUST00000180618.2	ENSMUSG00000046487.7
ENSMUST00000036226.6	ENSMUSG00000033319.6
ENSMUST00000070084.11	ENSMUSG00000056130.11
ENSMUST00000036030.14	ENSMUSG00000033184.15
ENSMUST00000149929.2	ENSMUSG00000056130.11
ENSMUST00000143178.2	ENSMUSG00000033184.15
ENSMUST00000151189.2	ENSMUSG00000033184.15
ENSMUST00000035804.9	ENSMUSG00000033022.9
ENSMUST00000234819.2	ENSMUSG00000033022.9
ENSMUST00000234064.2	ENSMUSG00000033022.9
ENSMUST00000234179.2	ENSMUSG00000033022.9
ENSMUST00000234222.2	ENSMUSG00000033022.9
ENSMUST00000035648.6	ENSMUSG00000032905.6
ENSMUST00000234430.2	ENSMUSG00000032905.6
ENSMUST00000234830.2	ENSMUSG00000032905.6
ENSMUST00000234575.2	ENSMUSG00000117630.2
ENSMUST00000234725.2	ENSMUSG00000117411.2
ENSMUST00000234013.2	ENSMUSG00000117588.2
ENSMUST00000157232.3	ENSMUSG00000087857.3
ENSMUST00000123228.8	ENSMUSG00000019647.17
ENSMUST00000019791.14	ENSMUSG00000019647.17
ENSMUST00000115449.9	ENSMUSG00000019647.17
ENSMUST00000076043.13	ENSMUSG00000019647.17
ENSMUST00000135790.8	ENSMUSG00000019647.17
ENSMUST00000156422.8	ENSMUSG00000019647.17
ENSMUST00000141224.8	ENSMUSG00000019647.17
ENSMUST00000151382.8	ENSMUSG00000019647.17
ENSMUST00000126684.2	ENSMUSG00000019647.17
ENSMUST00000144223.2	ENSMUSG00000019647.17
ENSMUST00000234328.2	ENSMUSG00000117515.2
ENSMUST00000234542.2	ENSMUSG00000117474.2
ENSMUST00000236862.2	ENSMUSG00000118113.2
ENSMUST00000236601.2	ENSMUSG00000118097.2
ENSMUST00000163590.9	ENSMUSG00000024505.17
ENSMUST00000139852.2	ENSMUSG00000024505.17
ENSMUST00000025383.10	ENSMUSG00000024505.17
ENSMUST00000237137.2	ENSMUSG00000024505.17
ENSMUST00000240327.1	ENSMUSG00000118705.1
ENSMUST00000186872.2	ENSMUSG00000100134.2
ENSMUST00000151719.2	ENSMUSG00000086600.9
ENSMUST00000129164.9	ENSMUSG00000086600.9
ENSMUST00000153361.2	ENSMUSG00000086600.9
ENSMUST00000147073.2	ENSMUSG00000086600.9
ENSMUST00000238008.2	ENSMUSG00000117714.2
ENSMUST00000183298.2	ENSMUSG00000098058.2
ENSMUST00000235550.2	ENSMUSG00000048875.4
ENSMUST00000056460.4	ENSMUSG00000048875.4
ENSMUST00000240059.1	ENSMUSG00000119809.1
ENSMUST00000104129.3	ENSMUSG00000077317.3
ENSMUST00000091905.4	ENSMUSG00000069379.4
ENSMUST00000238114.2	ENSMUSG00000118334.2
ENSMUST00000237836.2	ENSMUSG00000118334.2
ENSMUST00000240252.1	ENSMUSG00000119171.1
ENSMUST00000183003.2	ENSMUSG00000098000.2
ENSMUST00000025409.9	ENSMUSG00000024529.15
ENSMUST00000171470.8	ENSMUSG00000024529.15
ENSMUST00000235759.2	ENSMUSG00000118240.2
ENSMUST00000025419.9	ENSMUSG00000024538.9
ENSMUST00000049811.8	ENSMUSG00000048799.9
ENSMUST00000237062.2	ENSMUSG00000048799.9
ENSMUST00000237145.2	ENSMUSG00000048799.9
ENSMUST00000235928.2	ENSMUSG00000048799.9
ENSMUST00000237377.2	ENSMUSG00000117769.2
ENSMUST00000237202.2	ENSMUSG00000118103.2
ENSMUST00000236611.2	ENSMUSG00000118120.2
ENSMUST00000064763.7	ENSMUSG00000052713.10
ENSMUST00000238150.2	ENSMUSG00000052713.10
ENSMUST00000237844.2	ENSMUSG00000052713.10
ENSMUST00000237009.2	ENSMUSG00000052713.10
ENSMUST00000122572.3	ENSMUSG00000084521.3
ENSMUST00000192601.2	ENSMUSG00000103555.2
ENSMUST00000174961.4	ENSMUSG00000092702.4
ENSMUST00000182376.2	ENSMUSG00000098119.2
ENSMUST00000182528.2	ENSMUSG00000098007.2
ENSMUST00000172902.2	ENSMUSG00000053644.14
ENSMUST00000174518.8	ENSMUSG00000053644.14
ENSMUST00000172734.8	ENSMUSG00000053644.14
ENSMUST00000066208.13	ENSMUSG00000053644.14
ENSMUST00000174704.8	ENSMUSG00000053644.14
ENSMUST00000168517.2	ENSMUSG00000053644.14
ENSMUST00000170309.8	ENSMUSG00000053644.14
ENSMUST00000171851.2	ENSMUSG00000053644.14
ENSMUST00000171844.3	ENSMUSG00000053644.14
ENSMUST00000235150.2	ENSMUSG00000117812.2
ENSMUST00000236670.2	ENSMUSG00000118153.2
ENSMUST00000102912.8	ENSMUSG00000032656.15
ENSMUST00000035278.7	ENSMUSG00000032656.15
ENSMUST00000153044.2	ENSMUSG00000032656.15
ENSMUST00000237269.2	ENSMUSG00000117917.2
ENSMUST00000025488.15	ENSMUSG00000024592.16
ENSMUST00000139243.9	ENSMUSG00000024592.16
ENSMUST00000152087.3	ENSMUSG00000024592.16
ENSMUST00000236271.2	ENSMUSG00000118050.2
ENSMUST00000235434.2	ENSMUSG00000118177.2
ENSMUST00000235284.2	ENSMUSG00000118230.2
ENSMUST00000240486.1	ENSMUSG00000119541.1
ENSMUST00000130696.8	ENSMUSG00000086607.8
ENSMUST00000150994.2	ENSMUSG00000085800.8
ENSMUST00000151669.8	ENSMUSG00000085800.8
ENSMUST00000130724.8	ENSMUSG00000086607.8
ENSMUST00000133147.8	ENSMUSG00000085800.8
ENSMUST00000153122.2	ENSMUSG00000085800.8
ENSMUST00000150186.2	ENSMUSG00000085800.8
ENSMUST00000153884.8	ENSMUSG00000086607.8
ENSMUST00000137603.2	ENSMUSG00000086607.8
ENSMUST00000151209.2	ENSMUSG00000086607.8
ENSMUST00000236285.2	ENSMUSG00000118322.2
ENSMUST00000158151.3	ENSMUSG00000088776.3
ENSMUST00000236816.2	ENSMUSG00000118391.2
ENSMUST00000236754.2	ENSMUSG00000118391.2
ENSMUST00000235775.2	ENSMUSG00000118391.2
ENSMUST00000236807.2	ENSMUSG00000118391.2
ENSMUST00000025497.8	ENSMUSG00000024598.10
ENSMUST00000236932.2	ENSMUSG00000024598.10
ENSMUST00000235281.2	ENSMUSG00000024598.10
ENSMUST00000235417.2	ENSMUSG00000024598.10
ENSMUST00000237293.2	ENSMUSG00000024598.10
ENSMUST00000235779.2	ENSMUSG00000024598.10
ENSMUST00000104055.3	ENSMUSG00000077243.3
ENSMUST00000240050.1	ENSMUSG00000118754.1
ENSMUST00000235423.2	ENSMUSG00000118327.2
ENSMUST00000237574.2	ENSMUSG00000117701.2
ENSMUST00000090260.6	ENSMUSG00000068606.7
ENSMUST00000238180.2	ENSMUSG00000118361.2
ENSMUST00000042710.8	ENSMUSG00000038059.8
ENSMUST00000237270.2	ENSMUSG00000038059.8
ENSMUST00000056533.9	ENSMUSG00000049173.9
ENSMUST00000097566.10	ENSMUSG00000043079.18
ENSMUST00000130044.2	ENSMUSG00000043079.18
ENSMUST00000130360.2	ENSMUSG00000043079.18
ENSMUST00000128528.3	ENSMUSG00000043079.18
ENSMUST00000155195.3	ENSMUSG00000043079.18
ENSMUST00000115318.4	ENSMUSG00000043079.18
ENSMUST00000143275.3	ENSMUSG00000043079.18
ENSMUST00000123288.2	ENSMUSG00000043079.18
ENSMUST00000160395.2	ENSMUSG00000043079.18
ENSMUST00000137894.2	ENSMUSG00000043079.18
ENSMUST00000154857.2	ENSMUSG00000043079.18
ENSMUST00000139236.2	ENSMUSG00000043079.18
ENSMUST00000235795.2	ENSMUSG00000054008.10
ENSMUST00000237783.2	ENSMUSG00000054008.10
ENSMUST00000169273.2	ENSMUSG00000054008.10
ENSMUST00000237572.2	ENSMUSG00000054008.10
ENSMUST00000237885.2	ENSMUSG00000054008.10
ENSMUST00000237070.2	ENSMUSG00000054008.10
ENSMUST00000118088.2	ENSMUSG00000080779.2
ENSMUST00000175934.8	ENSMUSG00000024613.17
ENSMUST00000176630.8	ENSMUSG00000024613.17
ENSMUST00000163446.9	ENSMUSG00000024613.17
ENSMUST00000177172.8	ENSMUSG00000024613.17
ENSMUST00000176088.2	ENSMUSG00000024613.17
